Company,Clients,Rate of Return,Sales,Years
A,150,15.4,50400200,18
B,144,11.3,42100650,15
C,120,9.9,39440420,12
D,110,12.5,36500520,16
E,100,9.7,40650005,10
F,99,15.2,45665230,12
G,56,9.2,25978080,8
H,120,13.1,37900800,12
I,122,12.4,42560000,13
J,142,14.6,48900090,15
K,132,13.4,46500200,16
L,68,8.7,26400500,9
M,79,12.7,19800800,7
N,103,11.5,32568740,6
O,140,13.9,47635980,13
P,130,11.5,47005600,14
Q,74,8.6,24652000,6
R,49,9.8,14568990,6
S,75,11.7,37555000,8
T,46,8.7,22342600,5
U,79,8.9,32465890,9
V,90,9.4,34560000,10
