node,louvain_community,spectral_community
UCWHwCyAp2CtKMVm25ZG4BAw,26,0
UCpHQ8mSF19Ml1Yk_hnGcoeQ,26,0
UCllY4onZqJu7vAbWZ42fkRQ,103,0
UCi7YLOUOMQF7At2piFX3Piw,103,0
UCaqm-pRLS6RYITDb65WYJlw,2,0
UCFk__1iexL3T5gvGcMpeHNA,2,0
UCP7grhoAWwOcIKz3wHutAZw,85,0
UC7m9cDY2HYYBQmKctCsBPrw,85,0
UCJU9o6zzPZrO1HvF9Czg_Kw,103,0
UC9_v219or6c6wIskL-85n8Q,2,0
UCWQx_MqO2x7ePxQxR3BX7uA,4,0
UC7fJLBn0Rr97gSsaJZzJm9w,4,0
UCk1syZdgG_j79Ka3dD1_Gbw,5,0
UCzbxU0ld4wOEyy1fhNLMbQw,22,0
UC3ct3yd-Vw1tm00LLIBgcVg,22,0
UC0uuEqylInFYO1iKclnvQdQ,26,0
UC8AXGgAAcxCNN3YlTu_rvAA,26,0
UCgIbGg9zT6YIMCCWPpTPtFQ,7,0
UCHK9PzOOwZh2ZVQFq0rpsyw,7,0
UCKqOwItthYwIsah_Q6MkaJA,22,0
UCLKBftmIR7GAP-CuUsOugRA,22,0
UCx0LnPiGrarw6ruL3NxmDTg,7,0
UCauspBPR87tSCJCGqM9ktHA,8,2
UCpvqRmvFqIfv-7qlBK4NQ5Q,8,2
UCupKsYo4GvRbL1_bKtAA_IQ,38,0
UCJ8OlGX2fgV8TZj6ltTMd5g,38,0
UCCgQFsld7Vx0aJHXN9bg_Rw,45,0
UCiGQy8S0BNGAYmemkFDfoqw,45,0
UCCPicMw4NyOCiixuIfVDczg,2,0
UCCRbFrYzJ-lHOsPQXS_E8hg,11,0
UCwicfou4Ewu-koikmga-bEg,11,0
UCzEQilX2IDh3ZI1ukIGs8IA,22,0
UCRx9bg3fQab80VE7P-DH4qw,26,0
UCDyW-V1AaAeAaUyaGV8LOGg,12,0
UCrfwCYb82omObCkib4LHCQQ,12,0
UCM_R1HLH77dhyPn59b_v_gA,26,0
UC8k-3PXlkjSdY4DZWTGp7wg,13,0
UCKPgLQb1Nli3iyNRFRGpttg,13,0
