author,avg_sentiment,comment_count,sentiment_std
,0.128,6,0.144
@----akshay_m----6795,0.003,1,
@-97-8gabe,0.0,1,
@-LightningRod-,0.0,2,0.0
@-Nylo-,-0.004,1,
@-_Nuke_-,0.113,1,
@-awm-4655,-0.4,1,
@-drey,0.25,1,
@-effectingouraltruism,0.372,1,
@-hagann-,-0.073,1,
@-hu1fc,0.0,1,
@0000sarge,0.0,1,
@0007aamir,0.144,1,
@006puneet,0.0,1,
@007feck,-0.014,1,
@007rajace,0.0,1,
@00teatime,0.6,1,
@06howea1,0.094,1,
@0ABC234,-0.7,1,
@0ddlySpecifik,0.288,1,
@0lamalar0,-0.433,1,
@0ptimal,-0.124,1,
@0xdani000,0.257,1,
@0xgroot,0.333,1,
@0xredact3d,0.229,1,
@0xsupersane920,0.0,1,
@101ified,0.068,1,
@1073wheeler,0.45,1,
@11---------,0.017,1,
@120HEAT,0.0,1,
@12345abdo6789,0.221,1,
@12frank41,0.0,1,
@12imr,-0.083,1,
@1315crew,0.0,1,
@13asingh,0.0,1,
@13multipurpose,0.045,1,
@14arma,0.357,1,
@16nowhereman,0.8,1,
@1966human,0.125,1,
@1More_Dreamer,0.4,1,
@1Peter245,0.158,1,
@1booyakasha,-0.1,1,
@1kidnamedfinger,-0.5,2,0.707
@1saamor897,0.0,1,
@211action,0.175,1,
@23william90,0.35,1,
@2Kahyout4u,0.12,1,
@2Potates,-0.125,1,
@2carlo,-0.1,1,
@2hcy,-0.008,1,
@2much4skin,0.2,1,
@2ndCouncilofClermont,0.0,1,
@2pd9oz911,0.0,1,
@300inOne,0.0,1,
@30dayschallenge43,0.0,1,
@312bigbeanburrito,0.01,1,
@31ankitnain41,0.0,1,
@345Dx,0.0,1,
@3770227,0.0,1,
@3D_Enthusiast_1,0.151,1,
@3rachathetittiecommitee,-0.417,1,
@3rdworldgarage450,0.233,1,
@3triska3,0.05,1,
@40hitter,-0.05,1,
@415bryant,-0.125,1,
@44-mohammedsadathali10,0.0,1,
@4468861989,0.0,1,
@47Gryph,-0.375,1,
@4848sylvester,0.26,1,
@4DCResinSmoker,0.1,1,
@4TDsInOneGame,0.0,1,
@4k14Productions,0.203,1,
@4rayba892,0.0,1,
@4thorder,0.053,1,
@510deshawnplays,0.0,1,
@55rz55,0.0,1,
@5637718,0.0,1,
@5Demona5,-0.292,1,
@5eA5,0.22,1,
@6-cumMAcheama-9,0.0,1,
@6765dsy,-0.112,1,
@6bk239,0.2,1,
@6omni6draconian6,0.167,1,
@7349yt,0.265,1,
@770tim,0.201,1,
@77sdk,0.4,1,
@78Biggmike,-0.092,1,
@78deathface,-0.3,1,
@7CatBag,-0.156,1,
@7ahilVerma,-0.1,2,0.141
@7ofDaisy,0.3,1,
@7secularsermons,0.45,1,
@7spiritprayerwarrior-sf9he,0.029,1,
@80AlexDaniel,0.083,1,
@85yugs,0.003,5,0.242
@88yellowjacket,0.144,2,0.055
@89emeza,0.0,1,
@8Tarkus8,0.2,3,0.721
@8birch,0.0,1,
@8bitninja64,0.367,1,
@8cherbil,-0.667,1,
@8footballer8,0.203,1,
@8go,0.104,1,
@8night8fury8,0.5,1,
@913_Niyala,0.0,1,
@9fwan487,-1.0,1,
@A.Ghaaaa,0.026,1,
@AARONMICHAELFILM,0.325,1,
@AB-ee1qi,0.592,1,
@ABCtec4134,-0.14,1,
@ABrutalDuck,0.367,1,
@ACTS-Juda,0.001,2,0.002
@AD33AD2O33,0.0,1,
@ADHD_Gamer_PhD,0.0,1,
@ADRIFTHIPHOP,1.0,1,
@AFROJOE2323,0.033,1,
@AHappierWorldYT,0.081,1,
@AIBuilder-p8s,0.85,1,
@AIForHumansShow,0.525,1,
@AINextup-ai,0.06,1,
@AI_In_Context,0.16,2,0.041
@AIcentury,0.0,1,
@AJ-rc5lr,0.0,1,
@AJMac1,1.0,1,
@AK-xe2ly,0.0,1,
@AM3RZEIN,0.7,1,
@AMOCHINO,1.0,1,
@AMZilla642,-0.063,1,
@ANTICHRIS619,-0.036,1,
@APsychedelicJourney.-xx7uj,0.0,1,
@ARocketScientist85,0.141,1,
@ASK-hy3vn,0.25,2,0.354
@AW_Designs,0.219,1,
@AaAa-je5eo,-0.1,1,
@AaSs-wx4rn,0.6,1,
@AadityaJohn-gg8pp,0.282,1,
@Aaron-pp5dn,0.2,1,
@AaronNicholsonAI,0.6,1,
@Aaron_Mottram,0.0,1,
@Aashiq1488,0.0,1,
@Abbasblesseddaughter,0.15,1,
@Abcflc,0.1,1,
@AbhishekVerma-fn5us,0.044,1,
@Abigail-bj9ff,0.0,1,
@AbishekWickramage,0.228,1,
@Abrookepakistani,0.0,1,
@AbsoluteRusher,0.058,2,0.082
@AbstruseJoker,0.0,1,
@Abvro,0.0,1,
@Ace-xr6hs,0.0,1,
@AceticTWO,0.75,1,
@AcidUser,0.1,1,
@AcropolisNeven,-0.1,1,
@ActualChef,0.0,1,
@ActuallyYepod,0.325,2,0.46
@AdamBlack-o1e,0.063,1,
@AdamDavis-l8s,0.188,1,
@AdamSpokes,0.062,1,
@AdamWillBeRich,0.303,1,
@Addease,0.0,1,
@Addorange,-0.5,1,
@AdeTri-pu7qi,-0.119,1,
@AdidasTrackSuit,0.0,1,
@Adilumi-l6n,-0.4,1,
@AdithyaReddy.s,0.0,1,
@AditiTrivedi-f3f,0.133,1,
@Adorable_centurion,0.0,1,
@Adrian5400isp,0.0,1,
@AdrianBold,0.113,1,
@AdrianFurtuna-p5n,0.0,1,
@AdrianSommeling_photography,0.284,1,
