Source,Destination,Weight,Source_Name,Destination_Name
UCWHwCyAp2CtKMVm25ZG4BAw,UCpHQ8mSF19Ml1Yk_hnGcoeQ,16,@MatthewTheWanderer,@Silas2-p7c
UCllY4onZqJu7vAbWZ42fkRQ,UCi7YLOUOMQF7At2piFX3Piw,10,@deadinsideprints,@Rappasta
UCaqm-pRLS6RYITDb65WYJlw,UCFk__1iexL3T5gvGcMpeHNA,10,@djayjp,@LookingGlassUniverse
UCP7grhoAWwOcIKz3wHutAZw,UC7m9cDY2HYYBQmKctCsBPrw,10,@BlissedOut,@johnbunge7248
UCJU9o6zzPZrO1HvF9Czg_Kw,UCi7YLOUOMQF7At2piFX3Piw,9,@ArnoldSig,@Rappasta
UC9_v219or6c6wIskL-85n8Q,UCFk__1iexL3T5gvGcMpeHNA,8,@piedpiper4186,@LookingGlassUniverse
UCWQx_MqO2x7ePxQxR3BX7uA,UC7fJLBn0Rr97gSsaJZzJm9w,7,@beepboopmeow76665,@appolle
UCWHwCyAp2CtKMVm25ZG4BAw,UCk1syZdgG_j79Ka3dD1_Gbw,7,@MatthewTheWanderer,@PhotoPunk79
UCzbxU0ld4wOEyy1fhNLMbQw,UC3ct3yd-Vw1tm00LLIBgcVg,6,@tombe5791,@gr0undrush
UC0uuEqylInFYO1iKclnvQdQ,UC8AXGgAAcxCNN3YlTu_rvAA,6,@skramamme685,@djautotur4875
UCgIbGg9zT6YIMCCWPpTPtFQ,UCHK9PzOOwZh2ZVQFq0rpsyw,6,@richardcheek2432,@mipaloma
UCKqOwItthYwIsah_Q6MkaJA,UCLKBftmIR7GAP-CuUsOugRA,5,@Buzz-r8d,@GavinusMaximusMaster
UCx0LnPiGrarw6ruL3NxmDTg,UCHK9PzOOwZh2ZVQFq0rpsyw,5,@shake6321,@mipaloma
UCauspBPR87tSCJCGqM9ktHA,UCpvqRmvFqIfv-7qlBK4NQ5Q,5,@TheRatsintheWalls,@Abbasblesseddaughter
UCWHwCyAp2CtKMVm25ZG4BAw,UC8AXGgAAcxCNN3YlTu_rvAA,5,@MatthewTheWanderer,@djautotur4875
UCupKsYo4GvRbL1_bKtAA_IQ,UCJ8OlGX2fgV8TZj6ltTMd5g,5,@ErickAsteriason,@AshlynCookeTV
UCCgQFsld7Vx0aJHXN9bg_Rw,UCiGQy8S0BNGAYmemkFDfoqw,5,@darrenmanser2847,@Chrisjacks000n
