Source,Destination,Weight,Source_Name,Destination_Name
UCIpyLOkiSzPVwjrFBxkRrIg,UCwicfou4Ewu-koikmga-bEg,1,@ErickWright,@AI_In_Context
UC9-bmHAZ5W2ZaV79cUqSH7A,UCwicfou4Ewu-koikmga-bEg,1,@DavidTomasMika_Storymaker,@AI_In_Context
UC8oTmJ5gQxrWqeeF4ZgeuDw,UCwicfou4Ewu-koikmga-bEg,1,@GmababyShorts,@AI_In_Context
UCw6xInLScV6LY2e3g-E6Oiw,UCwicfou4Ewu-koikmga-bEg,1,@ongedre,@AI_In_Context
UC_w1psXsF2eY8885EE0X6Gg,UCwicfou4Ewu-koikmga-bEg,1,@zamatif,@AI_In_Context
UC-an_zOTuU2vRsG_LJqdmGw,UCwicfou4Ewu-koikmga-bEg,1,@aaronhhill,@AI_In_Context
UCg90LrgngOSjhOD1YWuYUmA,UCwicfou4Ewu-koikmga-bEg,1,@rastoobeats,@AI_In_Context
UCgOOjkrVAC4D0p5qtKLNhNg,UCwicfou4Ewu-koikmga-bEg,1,@UniqueTechnique29,@AI_In_Context
UC0hGOdOXi_zeqP8rORpfS1w,UCwicfou4Ewu-koikmga-bEg,1,@shawngibson4091,@AI_In_Context
UCjI9d4iAu3mpR4XdmSjEwaw,UCwicfou4Ewu-koikmga-bEg,1,@TyloTube,@AI_In_Context
UCIFyIjzXtT9Xtah5_ygnzRQ,UCwicfou4Ewu-koikmga-bEg,1,@huabasepp3574,@AI_In_Context
UC3hW9CmvpHOZF7v165Ni9zg,UCwicfou4Ewu-koikmga-bEg,1,@theo.k.corral6895,@AI_In_Context
UCy6cPSTktj1wCZuKb4L5C5g,UCwicfou4Ewu-koikmga-bEg,1,@pijcab,@AI_In_Context
UCcZXCjqMbI_Hp1IfNSiKO0w,UCwicfou4Ewu-koikmga-bEg,1,@Sajuuk,@AI_In_Context
UC-AKdQM8A_pyu6z9Uo9e5Kg,UCwicfou4Ewu-koikmga-bEg,1,@RastineGusle,@AI_In_Context
UClt2Mx1qaRiKfPH89Mr09dA,UCwicfou4Ewu-koikmga-bEg,1,@LynJo319,@AI_In_Context
UCYKehyDK2pdBIQ9EGRaVDuQ,UCwicfou4Ewu-koikmga-bEg,1,@borisvanputten7905,@AI_In_Context
UCWuXMgksRtf5XPgcW4rJlLA,UCwicfou4Ewu-koikmga-bEg,1,@iven4843,@AI_In_Context
UCGPapD0oPbnx_uLV5GlD0kA,UCwicfou4Ewu-koikmga-bEg,1,@ericcartmansstrengthandpow5960,@AI_In_Context
UCKRLrCoSYPOrlkfayC4Pypg,UCwicfou4Ewu-koikmga-bEg,1,@kd8icq,@AI_In_Context
UCc_qrV52bBDt1wuf2YcaPCg,UCwicfou4Ewu-koikmga-bEg,1,@TheJacklwilliams,@AI_In_Context
UC52C5r2laqosO_4AkHFv8iw,UCwicfou4Ewu-koikmga-bEg,1,@AngelLopez-kl6cl,@AI_In_Context
UC52C5r2laqosO_4AkHFv8iw,UCwicfou4Ewu-koikmga-bEg,1,@AngelLopez-kl6cl,@AI_In_Context
UChc_rtjq-O1uP8XG_iayAgA,UCwicfou4Ewu-koikmga-bEg,1,@thatmozzie,@AI_In_Context
UCO0SuzKvOLK77UVDYfPR_iA,UCwicfou4Ewu-koikmga-bEg,1,@shinote4,@AI_In_Context
UCzko8YSOfcm52tXJrYmQjww,UCwicfou4Ewu-koikmga-bEg,1,@VantageCollective,@AI_In_Context
UC5Vcvt2wSwF0M0MjPNdn9UA,UCwicfou4Ewu-koikmga-bEg,1,@21stcenturyscots,@AI_In_Context
UCMRPXJLEAH1UY22rVZYbZBQ,UCwicfou4Ewu-koikmga-bEg,1,@SamBarfield-b3k,@AI_In_Context
UCrLLLtTazlzoDM93lCUOCiw,UCwicfou4Ewu-koikmga-bEg,1,@sovietdoge.7369,@AI_In_Context
UCem1IWx0BTFSLisMbGR4n3w,UCwicfou4Ewu-koikmga-bEg,1,@jtam,@AI_In_Context
UCuO8riDlLi9n2hH39qHwwsA,UCwicfou4Ewu-koikmga-bEg,1,@Skinz420,@AI_In_Context
UCtLfMjHYCxY3-X4sxjCdkcg,UCwicfou4Ewu-koikmga-bEg,1,@Monk_Mode_Master,@AI_In_Context
UC-lE0OZbj19FOF0FETlv_KA,UCwicfou4Ewu-koikmga-bEg,1,@jonsmoke222,@AI_In_Context
UCaARN1bGzRAKjsbDKhfjS-A,UCwicfou4Ewu-koikmga-bEg,1,@augustbengtson1139,@AI_In_Context
UC7kiVG--G26Hcq30RVg6YnA,UCwicfou4Ewu-koikmga-bEg,1,@europana7,@AI_In_Context
UCdvyYR0L6te_t3SByLIYXIw,UCwicfou4Ewu-koikmga-bEg,1,@aarqa,@AI_In_Context
UCult9cJff49VbeA7dSOzJbA,UCwicfou4Ewu-koikmga-bEg,1,@vvgoon,@AI_In_Context
UCT7qhCf9Mxgbk8GJd2D_sAQ,UCwicfou4Ewu-koikmga-bEg,1,@righteous_Ell,@AI_In_Context
UC4ggX2YDWdXBgftQlW8tmmQ,UCwicfou4Ewu-koikmga-bEg,1,@igordomanski3477,@AI_In_Context
UC6l3j5nAAqZHkFPVhlDrJNQ,UCwicfou4Ewu-koikmga-bEg,1,@jdsguam,@AI_In_Context
UCbhHvuiZ0wuvlEfSQfJo47A,UCwicfou4Ewu-koikmga-bEg,1,@_shadowpixel_2439,@AI_In_Context
UCCavVpYh4KiXX6TbDbHTXSg,UCwicfou4Ewu-koikmga-bEg,1,@MactanMurray,@AI_In_Context
UCb9F9_uV24PGj6x63PhXEVw,UCwicfou4Ewu-koikmga-bEg,1,@TheInsideView,@AI_In_Context
UCJGZVxkG19o8DkINgMpWaHg,UCwicfou4Ewu-koikmga-bEg,1,@ajpenano,@AI_In_Context
UCJGZVxkG19o8DkINgMpWaHg,UCwicfou4Ewu-koikmga-bEg,1,@ajpenano,@AI_In_Context
UCjqdSNrNPpfBy-M2PiAiU6w,UCwicfou4Ewu-koikmga-bEg,1,@JacobCarrico,@AI_In_Context
UCktBH1FYmKUIlkkjyVJiRVQ,UCwicfou4Ewu-koikmga-bEg,1,@narendravaishnav1017,@AI_In_Context
UC35yky8yzS7FsdLEC1-mN2w,UCwicfou4Ewu-koikmga-bEg,1,@AndreVanKammen,@AI_In_Context
UCKVj_IvdQGF8EQtErAydw_w,UCwicfou4Ewu-koikmga-bEg,1,@carnivorousglutton,@AI_In_Context
UCcdX7x01aZUB8AzMVv1Ygvg,UCwicfou4Ewu-koikmga-bEg,1,@michaelainsworth1971,@AI_In_Context
UC9gFPtrOl59YsjnUreCbIpw,UCwicfou4Ewu-koikmga-bEg,1,@LarryGorton,@AI_In_Context
UCUSOFO9Z67B5X5h-aClAWkQ,UCwicfou4Ewu-koikmga-bEg,1,@markk2745,@AI_In_Context
UCkpM9JRguVmkcbn2Uzcp6ew,UCwicfou4Ewu-koikmga-bEg,1,@LucasRodmo,@AI_In_Context
UCiORiMMtnqfZjC844DJOpZw,UCwicfou4Ewu-koikmga-bEg,1,@justinunion7586,@AI_In_Context
UCfOXd928rEJ33b9_oWlBi3g,UCwicfou4Ewu-koikmga-bEg,1,@FrankBoston,@AI_In_Context
UCK6sR9jNPJMZeFipGzq-CBg,UCwicfou4Ewu-koikmga-bEg,1,@sheffieldgeek,@AI_In_Context
UCQPHruKSzSSE6jN6gl_Xe5A,UCwicfou4Ewu-koikmga-bEg,1,@F3LLAROX,@AI_In_Context
UCeccZTUO5NjjiskJVVhSLMg,UCwicfou4Ewu-koikmga-bEg,1,@GanjaGardner,@AI_In_Context
UCHRsMvOLN_5dHXD8wTLwL8Q,UCwicfou4Ewu-koikmga-bEg,1,@Palaecro,@AI_In_Context
UCU8s6v6o7dlnvk1y0JO_4IA,UCwicfou4Ewu-koikmga-bEg,1,@TrueIndependent,@AI_In_Context
UC0uuEqylInFYO1iKclnvQdQ,UCwicfou4Ewu-koikmga-bEg,1,@skramamme685,@AI_In_Context
UCJGx94yygCSHuDBB2KPNocw,UCwicfou4Ewu-koikmga-bEg,1,@2nd3rd1st,@AI_In_Context
UC7SQztBWyLNRtRl2nDWYPXQ,UCwicfou4Ewu-koikmga-bEg,1,@dje196,@AI_In_Context
