iter	Passed	Remaining
0	54	10937
1	55	5476
2	55	3668
3	56	2750
4	56	2203
5	56	1840
6	57	1588
7	58	1396
8	59	1254
9	59	1131
10	60	1035
11	60	954
12	61	886
13	61	823
14	62	769
15	62	720
16	62	677
17	63	639
18	63	605
19	64	576
20	64	548
21	64	522
22	64	499
23	65	479
24	65	459
25	65	441
26	66	425
27	66	409
28	67	395
29	67	381
30	67	369
31	68	357
32	68	345
33	68	335
34	69	325
35	69	316
36	69	307
37	70	298
38	70	290
39	70	283
40	71	276
41	71	269
42	71	262
43	72	256
44	72	250
45	73	244
46	73	239
47	73	233
48	74	228
49	74	223
50	74	218
51	75	213
52	75	209
53	75	204
54	76	200
55	76	196
56	76	192
57	77	188
58	77	185
59	77	181
60	78	177
61	78	174
62	78	171
63	78	167
64	79	164
65	79	161
66	80	158
67	80	156
68	80	153
69	81	150
70	81	148
71	81	145
72	82	143
73	82	140
74	82	138
75	83	135
76	83	133
77	83	130
78	83	128
79	84	126
80	85	125
81	85	123
82	86	121
83	86	119
84	87	117
85	87	116
86	88	114
87	88	112
88	89	111
89	89	109
90	90	108
91	90	106
92	91	104
93	91	103
94	92	101
95	92	100
96	93	98
97	93	97
98	94	95
99	94	94
100	94	92
101	95	91
102	95	89
103	95	88
104	96	86
105	96	85
106	96	84
107	97	82
108	97	81
109	97	80
110	98	78
111	98	77
112	98	76
113	99	74
114	99	73
115	99	72
116	100	71
117	100	70
118	101	68
119	101	67
120	101	66
121	102	65
122	102	64
123	103	63
124	103	61
125	103	60
126	103	59
127	104	58
128	104	57
129	105	56
130	105	55
131	105	54
132	105	53
133	106	52
134	106	51
135	107	50
136	107	49
137	107	48
138	107	47
139	108	46
140	108	45
141	109	44
142	109	43
143	109	42
144	110	41
145	110	40
146	110	39
147	111	39
148	112	38
149	112	37
150	112	36
151	113	35
152	113	34
153	113	34
154	118	34
155	119	33
156	119	32
157	120	31
158	120	31
159	121	30
160	121	29
161	121	28
162	122	27
163	122	26
164	122	26
165	123	25
166	123	24
167	123	23
168	124	22
169	124	21
170	124	21
171	125	20
172	125	19
173	125	18
174	126	18
175	126	17
176	126	16
177	127	15
178	127	14
179	127	14
180	128	13
181	128	12
182	129	12
183	129	11
184	129	10
185	130	9
186	130	9
187	130	8
188	131	7
189	131	6
190	131	6
191	132	5
192	132	4
193	132	4
194	133	3
195	133	2
196	134	2
197	134	1
198	134	0
199	135	0
